Genome,Resistance Phenotype Ciprofloxacin,Resistance Phenotype Meropenem,Resistance Phenotype Gentamicin
573.65932,1,0,1
72407.2308,1,0,0
573.66329,1,1,1
573.6653,1,0,1
72407.2665,1,0,1
72407.2378,1,0,0
72407.2444,1,0,1
573.6647,1,1,1
72407.2908,1,0,0
573.66482,1,1,0
72407.2207,0,0,0
573.65921,0,0,0
72407.2622,0,0,0
573.66383,1,1,0
573.66245,1,1,0
573.65942,1,1,1
72407.2399,1,0,1
72407.264,1,0,0
72407.259,0,0,0
72407.2365,1,0,0
72407.2938,1,1,0
72407.2436,1,0,0
574.81,1,0,0
72407.2867,1,0,0
574.86,1,0,1
573.66434,1,1,1
573.66441,1,1,0
72407.2626,1,1,0
72407.291,0,0,0
573.66391,1,1,0
72407.2638,1,0,1
72407.2918,0,0,1
72407.2878,1,0,0
72407.2532,0,0,0
72407.2565,1,0,0
72407.2917,1,0,0
573.6606,0,0,0
72407.2848,1,0,0
72407.2423,1,0,0
574.118,0,0,0
72407.2965,1,0,1
72407.2172,0,0,1
72407.2786,0,0,0
72407.2185,1,0,0
72407.2268,1,0,0
573.49998,1,1,1
72407.2851,0,0,0
72407.2788,1,0,0
573.65902,1,0,0
573.66395,1,1,0
72407.2817,1,0,0
573.66025,1,1,1
573.66248,1,1,0
573.66464,1,1,1
72407.2477,0,0,0
72407.2764,0,0,0
574.109,1,0,0
573.66312,1,1,0
573.66229,1,1,0
573.66032,1,0,1
573.6645,1,1,0
72407.2678,1,0,1
72407.2547,0,0,0
72407.24,1,0,1
72407.267,0,0,0
573.66283,1,1,0
573.66219,1,1,0
573.66545,1,1,1
573.66467,1,1,1
573.6634,1,1,0
573.66047,1,0,0
72407.2856,1,0,0
72407.2564,1,0,1
573.66024,0,0,0
72407.2791,1,0,0
72407.2929,1,0,0
72407.271,1,0,1
72407.2872,0,0,0
72407.2568,0,0,0
573.6639,1,1,1
72407.2921,1,0,0
573.65922,1,0,1
573.66389,1,1,0
574.74,1,1,0
72407.2862,1,0,0
573.6593,0,1,0
573.66,1,0,0
72407.2688,0,0,0
72407.229,0,0,0
